Market Segment,Country/Region,Sales,Profit
Technology,Brazil,5972.11,2229.5
Education,UK,33511.59,9328.32
Manufacturing,UK,1248.02,261.4
Finance,Japan,8879.59,4429.58
Finance,USA,27887.96,7542.93
Finance,USA,34902.86,9792.17
Technology,Brazil,32946.1,5450.92
Manufacturing,Germany,11989.2,5010.57
Education,France,35896.78,13550.06
Healthcare,USA,12625.21,2377.43
Healthcare,Brazil,16944.59,2252.82
Finance,India,37578.08,13986.55
Manufacturing,Canada,32832.01,11878.77
Technology,India,42611.95,8918.84
Manufacturing,China,33223.03,15958.53
Manufacturing,Japan,28847.12,4627.75
Technology,USA,5590.06,1525.72
Finance,China,19018.07,9080.11
Manufacturing,Australia,13994.92,3749.11
Healthcare,China,12955.49,4604.52
Technology,Brazil,48677.52,12609.31
Education,USA,20261.79,4248.62
Finance,Canada,44710.28,22068.6
Technology,Brazil,31925.79,8419.9
Education,Brazil,39945.75,18280.76
Education,Japan,25629.22,4920.34
Manufacturing,Japan,29268.29,5421.71
Manufacturing,France,25133.37,2826.34
Manufacturing,France,10566.91,3811.13
Technology,UK,36400.15,9005.78
Technology,Germany,14757.85,6578.21
Finance,USA,2191.48,633.96
Manufacturing,USA,32628.14,15898.96
Education,China,9678.42,1686.08
Healthcare,USA,47082.47,21067.02
Finance,USA,47742.5,19604.92
Technology,Germany,45828.36,18714.87
Finance,Australia,19137.78,8380.69
Finance,France,1757.37,710.7
Finance,France,46487.61,16293.36
Finance,Canada,21981.02,3352.06
Healthcare,USA,48366.09,5465.87
Manufacturing,Germany,48217.38,22582.09
Education,France,42797.46,14836.17
Finance,Germany,15428.0,6458.39
Finance,India,19869.79,5814.08
Finance,Australia,42705.7,6274.46
Manufacturing,USA,16529.18,2480.61
Technology,Canada,9305.14,3482.23
Technology,China,28283.26,7696.51
Healthcare,France,46871.58,8446.72
Technology,India,35105.46,10413.61
Finance,Germany,28933.0,3636.4
Finance,Japan,5761.65,1917.41
Finance,Brazil,31135.35,6463.62
Healthcare,USA,49512.64,20746.97
Finance,USA,7864.12,1762.7
Technology,India,26398.15,7446.6
Manufacturing,Germany,43991.28,4603.61
Manufacturing,UK,37297.66,4810.61
Education,USA,35153.77,9034.43
Technology,UK,35421.72,10342.28
Finance,Japan,18615.07,6329.28
Manufacturing,India,15386.0,3333.61
Technology,Germany,40658.7,15368.69
Manufacturing,Germany,40695.56,18070.82
Finance,Australia,43486.54,17913.86
Manufacturing,Brazil,45748.79,5299.88
Education,France,26055.78,7613.57
Education,France,25574.3,3630.84
Manufacturing,China,40116.46,7895.64
Technology,Canada,32848.23,16248.87
Technology,India,35396.38,5557.17
Technology,Japan,39993.84,11980.37
Manufacturing,Germany,44610.26,15491.46
Technology,Brazil,17561.76,6690.79
Finance,UK,19403.56,6284.03
Education,India,5605.12,582.42
Finance,China,29335.73,6764.36
Technology,India,2761.17,847.91
Finance,China,23814.3,3218.42
Technology,Germany,27589.59,6628.42
Manufacturing,Canada,15040.52,1703.81
Finance,China,29950.83,3936.48
Manufacturing,Germany,2494.51,645.5
Manufacturing,Germany,2830.06,433.24
Healthcare,Canada,41307.43,13508.2
Technology,France,18649.34,7008.16
Education,India,7225.97,3036.6
Technology,USA,26589.92,4787.78
Education,USA,38729.68,6467.59
Technology,UK,11575.23,1641.68
Manufacturing,UK,31521.63,11176.69
Finance,USA,5182.03,1982.59
Finance,Japan,3532.4,397.87
Healthcare,USA,27036.38,12828.35
Education,UK,27491.12,3320.61
Education,Brazil,32234.07,10202.68
Education,UK,36578.48,14032.39
Manufacturing,Japan,48816.75,21888.83
Education,India,26298.72,10141.7
Finance,USA,16824.87,7078.07
Manufacturing,Canada,39964.12,9422.74
Technology,Brazil,14270.78,6078.35
Education,Germany,22509.6,2972.3
Education,Japan,4844.36,2218.36
Technology,UK,2242.19,715.34
Education,Canada,48169.77,20564.6
Technology,China,41963.03,11788.56
Manufacturing,France,35102.74,12546.81
Finance,USA,21038.69,6533.8
Technology,France,9491.42,3726.67
Healthcare,Japan,8665.42,1149.48
Technology,China,13261.9,1646.34
Education,China,27912.11,5550.08
Manufacturing,China,36015.2,5899.93
Manufacturing,Germany,33349.67,14964.45
Technology,Japan,14716.76,2762.12
Finance,India,47788.4,23432.86
Healthcare,France,37156.95,8722.9
Manufacturing,India,28163.35,4867.95
Education,Canada,30974.32,12881.58
Education,Australia,21560.4,7836.84
Finance,Brazil,13138.82,3932.16
Manufacturing,Brazil,18442.66,5941.22
Technology,India,38134.46,14783.99
Education,Australia,1705.28,326.36
Finance,Australia,6687.56,3333.97
Manufacturing,USA,3254.13,1594.25
Manufacturing,Canada,2995.71,1078.85
Manufacturing,Japan,42917.57,7717.31
Manufacturing,Australia,35479.24,13201.51
Manufacturing,UK,24234.52,3123.33
Education,Brazil,5793.87,650.43
Finance,UK,25089.18,5094.94
Manufacturing,Canada,24200.12,6898.22
Healthcare,Australia,9486.89,4243.57
Healthcare,France,22258.73,8700.22
Finance,Brazil,20526.73,8150.81
Technology,USA,31176.65,8423.85
Technology,USA,32119.59,7656.47
Technology,China,3219.9,799.87
Healthcare,Germany,19356.02,9582.39
Technology,Australia,31667.14,3674.77
Education,Canada,25653.68,11462.39
Manufacturing,Brazil,42968.0,14242.61
Healthcare,Germany,33275.99,9165.74
Finance,Canada,8983.79,3504.6
Finance,India,4457.87,1313.59
Manufacturing,Australia,32478.54,14594.86
Healthcare,Japan,2299.05,1058.21
Technology,Japan,29703.0,7980.85
Technology,Australia,47071.28,9919.38
Education,China,29198.23,9838.06
Education,China,20020.33,9308.36
Technology,Japan,32521.12,5992.5
Finance,France,23454.39,8189.96
Finance,Brazil,27735.22,9780.11
Education,Japan,47131.78,18534.34
Manufacturing,France,19919.03,3040.18
Technology,Germany,48098.34,18581.83
Education,France,45362.18,21030.5
Education,Germany,10593.77,1820.78
Technology,Canada,4398.7,857.82
Technology,UK,5938.12,2901.12
Finance,Canada,1892.87,326.31
Manufacturing,Japan,5627.71,2486.06
Manufacturing,Germany,34467.33,10233.73
Technology,Japan,4488.24,892.68
Healthcare,Australia,16629.81,7455.14
Education,Brazil,42398.89,11792.07
Education,USA,2140.32,654.78
Technology,Japan,40908.96,9969.24
Healthcare,Brazil,14810.88,4993.94
Finance,France,6790.08,1123.14
Technology,Canada,35140.12,9011.07
Technology,France,31818.2,15519.8
Education,USA,43996.13,8942.36
Technology,Germany,37018.48,13426.41
Technology,Australia,40370.57,9288.3
Technology,Brazil,14819.69,6067.02
Education,Australia,9694.54,1476.96
Finance,UK,37780.12,18434.0
Finance,Japan,40534.9,11411.22
Technology,Germany,49534.75,9630.56
Education,UK,21218.27,2745.62
Finance,India,19228.89,3228.59
Finance,Japan,39044.24,12022.09
Finance,France,17699.37,4155.84
Education,Canada,46607.11,20113.45
Education,Brazil,43062.22,11728.21
Technology,USA,22020.71,4392.82
Manufacturing,USA,37792.68,13108.69
Finance,France,37972.6,14532.53
Manufacturing,China,6053.07,1009.75
Education,USA,45225.09,7554.75
Education,Brazil,25757.37,2953.56
Education,France,41496.42,16372.86
Manufacturing,Germany,16682.43,6097.79
Education,USA,44880.64,13008.76
Technology,Australia,20070.88,8784.39
Education,France,1531.04,646.51
Healthcare,Brazil,45363.72,15157.91
Manufacturing,Australia,5473.05,2448.14
Healthcare,Japan,16646.37,3035.24
Education,Japan,47553.04,6884.15
Technology,USA,47579.75,9891.82
Finance,Australia,29098.46,3574.3
Education,Canada,31960.02,9986.48
Technology,Japan,22973.83,10904.35
Manufacturing,Canada,15367.33,1778.57
Healthcare,Germany,17104.56,2545.91
Healthcare,France,33953.4,9536.82
Healthcare,UK,37866.35,17931.61
Manufacturing,Brazil,39787.37,9010.35
Technology,France,39691.29,12022.25
Manufacturing,Brazil,5469.1,637.86
Healthcare,Australia,25226.59,4019.54
Education,Germany,3820.38,1889.76
Finance,India,27926.92,13573.81
Manufacturing,USA,22634.99,2308.23
Manufacturing,Brazil,44497.5,21391.05
Technology,Brazil,18194.84,6470.96
Technology,Australia,6736.28,3012.25
Manufacturing,Canada,8006.59,2257.03
Healthcare,France,38314.02,11733.22
Finance,India,31292.69,9248.2
Technology,China,5955.01,2183.97
Healthcare,USA,5121.23,798.2
Education,UK,35347.49,3958.55
Technology,China,4565.39,1018.87
Healthcare,France,41271.14,15760.31
Healthcare,USA,35605.87,6435.45
Finance,Brazil,4986.09,1841.73
Finance,UK,5157.05,2516.46
Education,Canada,49345.34,6787.96
Healthcare,India,19339.27,7136.98
Healthcare,Canada,19161.47,5317.31
Finance,Germany,40827.18,18260.24
Technology,Australia,47415.18,8101.35
Technology,USA,49314.05,18593.88
Manufacturing,Canada,37915.53,16502.59
Finance,China,19436.72,9287.75
Manufacturing,Australia,5091.54,1900.67
Finance,Canada,39080.2,11679.9
Education,Japan,28361.81,9845.49
Healthcare,Germany,21786.88,9750.98
Education,France,45411.36,14906.0
Finance,India,6448.68,723.25
Healthcare,Germany,25138.63,11874.97
Technology,Australia,1556.33,584.88
Technology,Japan,23964.37,8881.32
Manufacturing,USA,3758.86,700.16
Finance,China,6822.08,2480.19
Finance,India,6758.79,1740.7
Technology,India,32811.3,11828.25
Education,Germany,37556.2,5356.91
Healthcare,Australia,29585.07,10743.47
Education,USA,48146.45,24061.94
Education,Brazil,19368.66,2310.39
Technology,Japan,14999.89,7362.99
Technology,Brazil,43561.36,11446.32
Technology,China,11956.2,5359.98
Manufacturing,USA,48197.9,19903.53
Education,USA,1595.57,521.44
Finance,Japan,48524.06,19185.43
Healthcare,UK,3114.84,1406.06
Manufacturing,Brazil,44666.01,11687.14
Finance,Canada,26857.35,6199.03
Education,India,49655.28,18225.34
Technology,UK,4616.03,1953.22
Education,Canada,28138.86,11393.82
Healthcare,Australia,48495.82,20325.83
Manufacturing,Japan,26631.79,7303.33
Manufacturing,Australia,31840.53,13600.16
Healthcare,India,35091.69,5196.5
Finance,France,23272.51,7395.9
Finance,Canada,31750.35,3248.17
Manufacturing,UK,29631.4,6810.31
Manufacturing,Canada,45156.74,11134.96
Technology,Canada,3226.87,834.05
Finance,Japan,14767.2,5584.76
Healthcare,Australia,47570.16,12150.53
Finance,Brazil,44622.93,12471.1
Technology,France,23327.18,4549.21
Manufacturing,Japan,31386.5,7824.68
Manufacturing,China,14591.68,2785.67
Technology,Japan,10217.94,1320.96
Healthcare,India,23721.22,8097.94
Manufacturing,France,18314.26,6726.55
Education,USA,29599.15,10294.47
Manufacturing,China,4809.0,1372.48
Education,Germany,48745.35,12279.65
Technology,Japan,49324.33,21965.77
Technology,Canada,35209.92,10831.72
Manufacturing,Brazil,27268.72,7953.54
Finance,USA,16166.85,1782.51
Education,Japan,40875.96,9667.13
Healthcare,Japan,34551.83,8709.76
Manufacturing,UK,8968.23,2327.52
Healthcare,UK,45635.43,15154.11
Manufacturing,USA,41304.32,12946.47
Finance,Australia,47540.2,16313.99
Finance,UK,36560.26,14841.76
Finance,Canada,31057.34,13205.41
Finance,China,21493.91,8323.5
Technology,Germany,46703.7,22520.96
Technology,France,43437.13,4660.5
Education,Germany,3215.71,573.4
Healthcare,Germany,2291.98,236.13
Manufacturing,France,19446.7,6981.17
Manufacturing,UK,40717.11,18697.8
Technology,USA,49376.53,9746.58
Manufacturing,France,8370.43,3940.91
Technology,India,30112.41,3737.16
Education,Australia,19663.65,9316.14
Healthcare,China,48525.81,11677.69
Education,Brazil,42263.83,5940.96
Finance,UK,42078.11,12385.64
Finance,Australia,23965.96,4858.16
Finance,France,21326.16,4562.71
Education,India,14396.95,3209.31
Manufacturing,Brazil,3762.4,1584.76
Healthcare,China,43371.4,13690.81
Finance,China,40832.15,9167.76
Finance,UK,49986.17,17201.91
Finance,France,49835.21,19259.33
Healthcare,Australia,28216.15,5898.58
Finance,USA,38680.38,10266.53
Healthcare,Australia,47293.52,7035.12
Finance,Australia,42632.72,7352.43
Education,China,13120.06,4886.53
Education,USA,23076.66,3982.46
Healthcare,USA,7328.81,2272.41
Education,UK,47748.5,18317.21
Healthcare,Brazil,30702.56,4382.81
Education,Japan,12203.5,3989.63
Education,Germany,33913.33,6871.69
Healthcare,Germany,31288.28,15180.16
Manufacturing,China,18549.97,5442.9
Education,Japan,6564.32,2772.75
Finance,Brazil,33907.09,10853.34
Manufacturing,Japan,26495.08,3109.6
Healthcare,UK,38843.6,13721.91
Manufacturing,Australia,26488.01,12729.11
Technology,China,42756.89,14564.91
Technology,USA,28043.44,11993.49
Education,China,28485.96,12923.58
Education,Germany,43956.03,8405.79
Finance,Brazil,20770.66,3838.79
Manufacturing,Japan,7566.75,2605.93
Technology,Brazil,2410.35,637.32
Education,UK,38001.73,16566.64
Manufacturing,China,31395.17,14442.07
Education,France,35499.91,8568.56
Education,China,11435.24,2226.99
Technology,USA,7682.2,3166.68
Technology,China,1712.69,359.53
Education,India,18178.79,7799.53
Healthcare,UK,29905.97,8059.52
Education,Canada,20219.96,7421.13
Education,UK,22436.27,3101.01
Finance,Japan,45303.78,15835.65
Finance,Canada,18064.52,5070.84
Finance,Japan,26185.48,8762.8
Healthcare,Japan,39399.0,6587.74
Healthcare,USA,20430.6,8064.97
Education,USA,31482.25,14013.34
Finance,Australia,43255.82,8075.69
Healthcare,Germany,47526.51,6572.24
Technology,Australia,8206.6,898.26
Education,Australia,46402.79,16555.99
Manufacturing,Germany,25113.7,8609.92
Education,France,13653.98,4351.23
Manufacturing,Canada,23497.65,4529.85
Finance,Brazil,49021.6,12567.29
Manufacturing,Australia,25138.29,8491.48
Finance,China,17108.83,5110.52
Technology,China,32036.64,15861.8
Manufacturing,Japan,12767.14,1973.49
Education,Germany,4717.3,1783.41
Finance,Japan,7315.11,1914.56
Education,India,7274.25,1973.36
Healthcare,India,8443.23,3267.86
Finance,Brazil,7802.53,2941.36
Manufacturing,USA,32402.86,16088.1
Finance,USA,9912.12,1500.28
Education,Germany,17937.7,2540.76
Technology,Germany,44942.63,17515.74
Finance,Australia,24224.12,8026.78
Manufacturing,India,33710.33,7067.85
Healthcare,Australia,9443.67,1244.37
Technology,USA,10422.16,1399.31
Healthcare,Canada,3002.56,1374.2
Finance,Canada,9277.82,1639.83
Education,Germany,14650.93,3360.17
Education,Japan,9673.51,1844.38
Manufacturing,USA,5346.42,1293.83
Education,Canada,6911.16,883.04
Technology,USA,23578.16,7253.21
Education,UK,11110.35,1411.51
Manufacturing,China,18849.22,7919.36
Finance,India,25667.45,4966.26
Finance,Australia,34829.35,11006.24
Education,USA,2926.29,1322.78
Healthcare,China,40171.11,14475.7
Finance,UK,31767.12,9948.93
Education,Australia,5006.19,1150.09
Manufacturing,USA,43805.35,10215.44
Education,Germany,46122.75,16963.71
Finance,China,3992.82,1987.05
Manufacturing,Australia,14567.0,5313.11
Education,USA,40503.86,13087.34
Technology,China,37664.72,14774.37
Manufacturing,UK,10041.53,2872.7
Technology,USA,11258.12,1396.65
Healthcare,USA,19153.13,6223.21
Manufacturing,USA,24741.63,11951.45
Technology,Brazil,31294.48,5323.85
Finance,Germany,19076.77,7172.9
Finance,UK,23664.2,4268.39
Healthcare,Australia,37626.08,11827.04
Manufacturing,Brazil,2797.48,387.93
Manufacturing,Japan,13369.41,3745.42
Manufacturing,Brazil,35954.13,14470.29
Healthcare,India,44865.14,10724.05
Manufacturing,India,26072.19,9541.5
Finance,USA,27073.56,11321.62
Technology,Brazil,6251.43,2943.62
Finance,Japan,22923.21,4443.82
Finance,Brazil,27098.25,7038.13
Technology,Germany,12881.05,2073.42
Finance,Germany,14192.92,7053.79
Healthcare,Japan,19486.92,9174.45
Technology,Brazil,1983.49,626.75
Finance,China,16781.88,7330.55
Education,Germany,11360.95,3503.53
Finance,Germany,17047.37,5956.94
Healthcare,Canada,6868.34,931.69
Manufacturing,Brazil,44635.84,17948.43
Finance,Germany,30086.03,4545.56
Manufacturing,UK,34276.01,14753.32
Education,Brazil,39669.39,16375.97
Finance,India,25423.67,9749.92
Technology,Canada,5259.09,601.98
Manufacturing,Germany,27318.22,6044.19
Education,Canada,29755.21,6107.11
Technology,India,37526.53,9158.52
Technology,Japan,22151.32,2991.69
Technology,Japan,7251.43,3442.86
Technology,Brazil,14905.02,4792.28
Finance,India,18791.03,4175.55
Finance,France,32649.94,8449.56
Finance,France,28968.14,8078.66
Education,Brazil,18448.74,6276.96
Education,USA,49339.25,15111.22
Education,Canada,30682.97,14352.17
Healthcare,Canada,12624.11,3771.9
Education,Japan,5987.34,2974.89
Finance,France,8490.1,3740.48
Finance,Australia,13051.93,2393.78
Healthcare,Germany,8873.39,4190.35
Healthcare,Germany,10141.78,1486.24
Education,Germany,14969.66,6391.75
Manufacturing,Japan,9495.31,2395.18
Healthcare,India,44941.51,20277.15
Technology,China,4931.45,2205.46
Finance,France,26701.06,11277.73
Technology,France,21109.44,8781.79
Finance,Australia,49136.55,10902.01
Finance,Canada,6489.91,859.05
Healthcare,USA,20494.92,5353.11
Healthcare,Brazil,48504.05,8217.06
Technology,Canada,43409.85,16408.07
Finance,India,41036.53,9784.75
Technology,Brazil,13637.24,6685.58
Manufacturing,France,9373.49,3340.61
Technology,India,33763.52,14484.29
Education,Brazil,46539.42,7120.99
Technology,Australia,28281.38,12579.72
Education,Australia,29009.02,13608.22
Education,UK,14718.98,4339.52
Education,China,38705.15,13256.56
Manufacturing,Australia,10165.14,4126.27
Technology,France,16860.28,2865.16
Technology,USA,21846.39,6576.34
Manufacturing,Germany,25872.91,6713.12
Finance,UK,12878.08,2041.81
Healthcare,Germany,6627.0,1636.96
Technology,China,30920.38,3935.2
Healthcare,Brazil,15142.9,1670.64
Manufacturing,Japan,29480.67,4541.98
Finance,Australia,8563.77,4155.54
Finance,USA,24575.86,7859.65
Finance,China,27096.88,13178.0
Manufacturing,Germany,3539.35,966.24
Education,UK,17493.61,3931.28
Education,Australia,7586.32,2294.53
Healthcare,France,4105.37,1132.28
Education,Australia,49508.05,7043.31
Education,UK,16795.34,5984.69
Finance,UK,40683.85,7584.09
Finance,Japan,13477.39,4687.91
Healthcare,Australia,34393.63,12384.47
Technology,Australia,38251.17,6151.17
Healthcare,Japan,30186.3,3759.4
Healthcare,India,24107.23,9939.52
Manufacturing,India,21180.2,6013.49
Manufacturing,Brazil,18094.55,2230.43
Healthcare,India,46546.93,23177.88
Healthcare,Canada,41700.35,5133.82
Healthcare,Australia,48286.32,18252.91
Education,USA,7090.56,3498.99
Manufacturing,Australia,36812.51,7203.18
Healthcare,Canada,46978.68,7370.94
Finance,Canada,9880.42,1467.78
Finance,Germany,4258.32,942.41
Education,Australia,37314.91,5239.7
Education,China,29149.18,10985.29
Technology,Canada,42249.61,5277.68
Technology,USA,7848.85,2384.24
Technology,Japan,39968.1,19931.24
Education,Brazil,10879.74,4630.29
Education,Germany,9019.14,3121.41
Education,Japan,9049.02,2013.42
Finance,Germany,40914.16,14301.89
Education,USA,33594.66,10441.78
Finance,UK,26630.21,7201.7
Technology,Australia,18582.69,2829.85
Technology,France,43982.83,19996.43
Technology,China,20229.81,5662.6
Healthcare,Japan,41013.37,7294.19
Healthcare,Australia,22517.61,5564.19
Manufacturing,China,19470.28,5172.32
Manufacturing,UK,23671.31,10202.69
Manufacturing,France,15767.52,6203.66
Healthcare,China,37632.86,15343.74
Healthcare,China,25633.3,2676.44
Manufacturing,Japan,12378.42,3298.37
Manufacturing,India,45079.15,13187.35
Education,France,19810.67,2133.15
Manufacturing,Australia,27634.09,5635.29
Education,UK,45417.13,18353.79
Finance,France,31587.66,4891.16
Healthcare,USA,6728.0,2113.43
Manufacturing,India,47051.77,8755.43
Healthcare,USA,31757.69,3329.74
Healthcare,UK,17410.38,3420.8
Healthcare,Japan,7824.33,3836.66
Finance,Japan,39907.23,16785.58
Technology,UK,31383.57,15184.33
Manufacturing,Germany,27139.59,8010.02
Technology,UK,44800.74,6446.58
Technology,India,39641.26,12652.85
Technology,Canada,8432.07,2375.74
Healthcare,Japan,16274.38,7123.99
Education,Brazil,13175.97,1834.53
Healthcare,India,37453.37,11059.85
Healthcare,India,2643.09,422.95
Technology,India,28924.59,6648.91
Healthcare,China,38360.48,15150.19
Technology,India,43961.52,12766.74
Education,Japan,17762.01,4446.81
Manufacturing,Canada,41241.61,10631.7
Technology,Canada,6420.96,1822.13
Education,India,42476.16,17585.41
Manufacturing,USA,7246.94,3310.65
Finance,Japan,20467.08,9867.87
Technology,Japan,40067.47,16618.44
Technology,France,8345.95,1887.54
Finance,Australia,12233.32,4590.6
Finance,Germany,36390.38,10008.85
Technology,Germany,36281.79,7324.14
Finance,USA,32416.23,14144.78
Healthcare,Germany,35003.47,4038.37
Manufacturing,France,27593.5,12712.46
Manufacturing,UK,13338.15,3795.92
Manufacturing,Germany,17939.1,6366.24
Healthcare,Japan,9898.29,3600.42
